
Pathwayname ECID Probeset AGI c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19 c20 c21 c22 c23 c24 c25 c26 c27 c28 c29 c30 c31 c32 c33 c34 c35 c36 c37 c38 c39 c40 c41 c42 c43 c44 c45 c46 c47 c48 c49 c50 c51 c52 c53 c54 c55 c56 c57 c58 c59 c60 c61 c62 c63 c64 c65 c66 c67 c68 c69 c70 c71 c72 c73 c74 c75 c76 c77 c78 c79 c80 c81 c82 c83 c84 c85 c86 c87 c88 c89 c90 c91 c92 c93 c94 c95 c96 c97 c98 c99 c100 c101 c102 c103 c104 c105 c106 c107 c108 c109 c110 c111 c112 c113 c114 c115 c116 c117 c118
Arginine 6.3.4.5 254134_at AT4G24830 2354.7 1665.2 6300.6 2340.8 2828.5 1130.4 2692.8 1200.5 2293.6 1466.3 756.8 989.2 2842.4 2952 1888.9 1648.5 1595.6 1405.7 1659.4 1606.7 1587.7 1683.5 856.8 673.6 1817.3 867.3 1693.4 2108.4 5266.2 4536.4 981.8 3479.1 599.4 1045.7 2792.9 869.9 897.5 2822.4 872.4 919.3 3305.1 1530.7 1039.6 1624.4 1955.9 1656.5 1655.6 3442.9 2164.1 2046.5 1977.3 1374 2424.7 3222.5 855.2 1606.9 1153.2 1594.9 1351.6 1202.5 1740.4 1344.8 1230.3 1563.8 1625 443.5 274.4 294.9 279.6 1561.9 1963.3 1742.7 1575.3 1192.1 975.5 1418.1 1248.4 853.8 730.9 883.9 973.2 896.6 915.8 379.5 470.5 925.1 435.4 450.4 831.5 467.6 414.2 521.4 1313.4 2969.8 2444 2568.1 1539.3 1941.6 1721.5 577.2 1642.8 1997.7 3514.1 2791.3 1222.7 1982.5 1224.4 1846.2 530.3 1916.6 2248.9 1469.2 904.4 3114.9 346 1168.6 1887.7 894.5
ArylpyronesStyrylpyronesStilbenesmetabolism 2.3.1.74 250207_at AT5G13930 12234.3 6478 5.2 16256.5 13687.2 1465.5 4462.3 3929.1 4571.7 5732.7 258.7 312 7524.4 1987.9 8696.7 9105.8 8266.5 7968.1 5721.9 5562.8 2828.6 2776.9 673.6 39.5 189.5 41.3 16382.2 6876.3 27276.8 10699 2721.4 18482.8 3175.8 2829.6 18224.2 4725.3 1751.2 15948.2 19151.1 2708.2 21489.5 46652.5 39.8 7639.2 9318.3 8366.3 9023.7 25721.6 6171.3 8037.9 12320.7 4303.4 7424.6 19473.8 16136.6 7791 2701.5 2660.5 5555.1 4705.5 6333.6 4662.7 2487 4218.7 4788.6 219.7 1233.6 515.6 2581 25157.8 24646.8 23180.2 21052.8 25537.4 22304.4 19807.6 15806.7 9708 10796.2 14439.9 13876.5 12472.8 10482.1 8596.3 3933.3 17354.2 5183.8 6434.6 16126.9 4068.5 9473.9 5444 645.5 12501.6 12665 17497.6 8079.1 13159.5 4268.7 56 4140.1 8878.8 19488.5 12864 26348.9 6607.6 13745.8 4048.8 933.6 8311.7 23682.5 3723.6 1269 24251.1 2573.7 471.7 33682.7 331.1
ArylpyronesStyrylpyronesStilbenesmetabolism 2.3.1.74 253222_at AT4G34850 16 58 78.9 134 6.3 65.2 47.9 46.1 219.5 89.2 21.8 74.3 44.2 17.7 32.1 40 18.1 136.1 9 95.7 55.8 81.6 95 70.1 34.7 21.8 105 26.7 40.1 26.7 20.2 108.1 8.8 25.2 57.7 61.5 11 88.5 25.8 35.2 28.5 26 20.2 8.9 37.8 66.9 19.5 177 53.7 38.8 32.8 614.7 133.4 73.5 28.8 29 109.5 31.9 98.8 16 114.7 18.4 32.8 70.9 103 21.3 57.5 59.4 36.6 35.4 6.2 87.9 9.7 133.2 40.5 27.3 72.9 30 110.2 24.3 14.6 48.9 42.6 28.5 88.8 179.8 130.9 29.1 49.3 31.2 41.7 40.2 55.3 109.8 53.9 113 84 16.8 26.9 88.2 94.1 32.8 14.9 67.3 25.1 18.7 102.6 16.3 6.6 139.2 101.8 173.2 33 255.9 164.2 34.4 13.3 23.4
ArylpyronesStyrylpyronesStilbenesmetabolism 2.3.1.74 264175_at AT1G02050 146.3 172 213.8 61.6 151.5 109.1 218.2 83.3 225.4 182.1 25.9 107.4 363.2 119.6 110.8 120 72 25.7 232.1 187.2 112 192.5 306 385.9 114.7 80.7 155.2 123 73.9 109.8 181.7 174.3 195.1 237.2 106.6 110.2 224.9 225.1 98.3 169.3 257 147.1 258.5 263.2 31.2 311 332.9 201.4 261.8 220.6 250 815.1 271.3 266.8 89.7 134.9 249.5 51.5 77 125.4 79.8 106.9 209.4 202.5 96.9 68.1 53.5 47.6 43 188.4 216.9 224.3 263.8 422.8 361.1 354.3 381.5 473.5 335.9 469 410.6 240.7 120.8 395.8 339.3 175.5 204.1 567.7 291.7 515.7 268 260.3 192.9 63.6 122.7 95.7 310.5 247 132.4 85.3 63.4 285.3 202.2 128 54.3 483.6 197.1 142.3 109.5 259.2 225 119.6 109.1 321.9 149.6 76 24.3 32.1
Asparaginemetabolism 6.3.5.4 247218_at AT5G65010 11568.8 11773.4 3116.9 3634.2 7633.7 4106 1814.4 5838.1 6028.9 2682.2 3120 6877.2 2097.3 2424.7 7424.5 5997.4 4548.5 4252.3 6650.2 5318 5937.9 5937.4 6920.3 5687.8 3140.8 5438.5 527.4 1069.6 1793.4 1763.7 418.9 6570.2 439.7 554.2 6516.9 599.2 731.1 5836.7 452.5 479.5 6044.7 2777.3 589.6 6724.3 7048 12304.1 13873.6 5938.7 9626.6 9412.6 9468.4 8482.7 8639.7 6001.5 713.5 6961.7 6549.1 7793 5102.9 6523.4 5365.2 5914.9 7993.1 6766.6 6257.4 4225.2 1629.3 1405.2 2534.1 8795 8604.1 9207 6142 5372.3 3766.1 5725.1 5441.6 2210 2162.5 3131 2989.7 1903.9 2126.4 612.3 417.6 2033.6 522.3 1082.7 2524.7 821.3 845.6 1522 2381.8 6833.3 6476.6 6470.6 10382.6 12021.1 4527.6 2025.3 4102.7 9122.6 5303.4 5374.8 1994.6 12109.4 7736.3 2834.6 1293.9 8757 8586.6 2824.2 1926.9 4011.2 2109.5 3070.1 4309.4 2349.9
Asparaginemetabolism 6.3.5.4 250484_at AT5G10240 1156.9 998.2 8351.9 541 1088.7 325.1 1881.7 595 374.4 240.2 361.6 428.4 527.3 1433.4 1000.1 996.1 740.7 903.5 881.4 1011.4 691.8 854.8 394.5 355.7 295.2 242.8 512.3 370.2 1904 1477.1 635.9 1267.8 643.5 810.2 1302.3 699.6 679.6 1239.4 642.7 737.1 1600.9 709.7 843.5 693.3 723.1 599.9 887.1 801.9 893.4 974.4 927.2 266.1 719.9 697.4 578.8 761.4 857.4 667.2 1022.9 840.6 1023.1 968.8 777.2 1344.2 1037.9 209.2 136.6 278 337.9 800.5 808.7 573.1 651.9 679.1 481.6 580.3 461 343.5 415.6 483.8 384.2 659.6 443.6 600.5 213.5 701.2 392.8 532.1 678.3 393.9 397.2 225.6 537.9 713.4 1230.8 708.5 709.2 618.4 445.8 378 426.4 774.7 1202.1 916.5 271.7 783.2 687 511.4 288.1 724.3 714.9 519.3 310.2 780 533.9 478.2 576.3 506.1
Asparaginemetabolism 6.3.5.4 252415_at AT3G47340 2032.8 6868.3 62.7 3301.5 1424 433 858.6 2423.4 1310.3 357.5 1452.1 4995.3 490.3 1566.6 10767.7 14400.3 17565.5 21591.6 26666.8 28046 13171.4 9546.9 18455.8 32348.6 12606.9 29128.1 178.1 223.7 135 423.5 12898 233.1 17770.2 14372.1 165.1 17263.2 19555.5 135.3 1050.2 7736 245.1 1227.9 22757.4 7000.1 8138.9 1082.5 523.1 259.8 2596 2334.4 2163.3 1039.8 1581.3 728.4 1889.4 7224.1 15488.5 11952.5 10448 15149.2 7363.1 3726.3 12264.9 1514.2 2752.8 1658.3 1562.7 764.8 3564.5 24172.4 24169.5 22938.8 22561.6 37635.7 39387 31774.2 36205.2 38530 35068.5 40675.2 40266 69394.6 51152.6 53402.7 69826.1 50797.6 61217.5 49602.6 44405.7 48252.5 42635 41240.7 3931.1 1596.5 6789.5 259.8 14649.5 1211.7 463.4 1275.4 434.4 8795.6 2054.4 2722.5 266.8 5859.8 5554.7 1308.4 362 17424.8 199.8 524.2 510.9 466.9 791.4 2227.5 196 489.8
Asparaginemetabolism 6.3.5.4 258046_at AT3G21220 1133 1365.2 1390.9 1238.3 1629.9 1359.9 630.8 559 662.8 1579.5 982 460.5 1886 723.1 899.1 944.9 771.1 808.5 720.4 778.3 905.1 869.8 1169.1 1852 2358.8 2157.9 1454.1 1174.9 912.2 917 1021 862 1155.7 933.6 695.1 1154.4 1056.6 1102.1 1569 951.1 777.8 885.1 995.1 1148.7 856.9 1456.6 1072.7 924.7 1118.4 1336.5 1492.3 1657 797.9 991.2 1435.9 928.4 730.1 909.6 1141.9 959.8 962.3 928.8 994 1236.6 974.8 1034.2 1180.6 1297.2 1123.8 872.2 970.4 949.1 1023.6 859.5 961.4 1048.9 957.1 1436.7 1269.3 1279.6 977.1 774.9 935.4 1039.6 1005.8 1047 1175.7 1223 797.4 1356.2 1117.9 1374.3 1144.4 1153.2 642.7 1516.1 837.7 915.1 1179 1717.4 1146.5 1552.4 957.5 1195.3 1903.5 931.6 857.2 1412.6 2429 1291.4 1073.6 970.2 1407.4 1974.3 1032.3 1224.1 1365.8 1472.5
Auxinbiosynthesis NA 246880_s_at AT5G25980 22196.8 15500.1 33.1 27141.4 21262.7 23257.4 24344.8 31132.4 19604.3 12736.4 22758.3 28625.3 13410.7 27332.3 20214.2 18966.1 24058.6 21947.5 19905 25081.3 17575.7 19495.2 18735.5 19338.1 16321.7 18816.1 9535.5 12798.8 15601.7 20738.7 4519.5 16365 8703.4 5740.6 16970.3 5366.1 9074.9 18871.8 5388.8 2358.7 16363 6170.1 2566.5 19526.7 14633.7 11089.1 12016.1 10708.2 16167.4 17754.5 16703.8 9256.2 16563 13655.7 5063.8 17732.5 19947.6 23639.5 29070.9 28881.8 24135.3 27297.4 27836.8 22543.5 23181.7 18333.5 13008.9 17439.2 24725.7 22246.4 21964.2 18021.4 15921.3 15871.5 16514.3 15649.7 16291.6 13125.2 14478.3 10488.3 12675.8 12039.1 15852.2 4931.3 3611.2 4713.3 3530.2 6411.5 18953.3 5462.7 6593.7 9449 17732.9 12694.8 16789.7 18467.8 16704.2 15191.5 19060.5 28350.2 21180.7 17856.5 14390 12548.1 16577.7 15231.2 16832 19200.8 11261.3 15334.5 23420.8 29629.2 11918.5 16542 42477.5 28162.2 33308.5 32638.3
Auxinbiosynthesis NA 252678_s_at AT3G44300 23861 21811.4 8927.2 35297.8 28693.6 27190 14242 22526.1 20011.1 24007.3 28865.9 18314 16302.3 12079 19185.7 16436.6 16003.2 13490.5 16927 16173.4 16980 19110.4 18868.9 17909.4 22222.4 16526 25776.6 33155.6 24401.1 33552.3 23979.3 27431.2 22486.3 22011.8 31810.1 23223.4 20125.8 26450.3 26774.1 21920.7 23587.5 24344.3 23775.2 22042.8 17760.6 22576.5 22778.3 22381.4 24845.4 26382.9 30711.4 17541.6 29480.8 26860.6 23007 20094.3 15516.2 9626.1 13087 18200.1 17553.4 11123.7 16140.8 16175.8 9077.7 34338.8 34850.5 27990.2 28190.8 21129.7 21043.3 21630.5 18586.2 24771.7 22036.3 18757.5 23894.5 29171.6 29960.1 27323.4 25186.8 31913.4 23118.9 25284.6 33030.3 32447.2 34976.8 23940.6 26019 22056.8 35519.7 30722.3 21587.8 21217.1 18464.4 22423.1 19204.6 18340.3 21197 27471.1 28668.5 22257.4 22010.5 20354 21402.5 16645.9 18461.1 25310 28425.9 19783.3 27763.4 37658.4 22001.1 20003 37309.8 23174 37255.4 27331.2
Auxinbiosynthesis NA 252827_at AT4G39950 1754.3 2345 10 2438 2861.8 2106.8 531.6 1802 1699 3193.8 3326 1360.9 4185.6 560.1 4193.1 4494.7 4820.4 4905.8 3698.2 3181.5 2960.8 3866.7 1890 3252.7 6074.3 6389.7 10664.5 11672.2 2861.1 3307.9 3569.6 2303.2 3493.5 3978.2 2554.5 1245.1 2825.5 2304.8 875.8 2437.3 2283.6 1675.8 2396.8 1845.5 1103.4 1870.9 1300.6 2152.2 1430.5 1398.6 1749.6 1427.8 1111.5 1231.5 1376.5 1692.1 2794.6 1231 2467.1 2783.5 2550.2 1252.9 2067.7 1874.5 1216.7 1793.7 550.8 1449.8 2323 1589.8 1727.5 1703.7 1924.3 627.8 634 1009.8 2082.4 459 157.1 1359.7 1272.2 644.1 886.3 33.4 224.5 777.9 417.9 373.7 1513.5 327.1 449.9 413.5 2858 5743.9 2480.6 2564.5 2060.5 1930.7 5164.1 2658.4 4790 1497.4 3821.1 5060.8 2979.1 2248.3 1262.8 3374.7 2594.6 539.6 2799.3 4581.3 2467.4 3062.2 2490.5 2201.6 4470.2 2843.5
Auxinbiosynthesis NA 253439_at AT4G32540 187.3 162.8 79.2 144 183.9 220.6 261 141.3 218.3 115.5 257.8 195.4 127.9 145.9 244.3 176.8 218.7 226.3 150.8 127.2 138 194.3 139.9 184.1 172 141.7 119.1 164.2 215.7 164.3 120.7 172.4 135.5 191.2 202.9 152.3 206.9 203.7 126.9 175.5 189.5 167.9 258 178.4 157.4 303.4 214 233.6 121.3 272.4 201 270.9 352.5 174.5 114.4 173.6 177.6 139.3 205.8 189.9 148.2 154.3 135.5 314.8 155.7 162.7 145.5 253.8 229.4 178 167.7 144.1 189.3 232.4 240 245.7 176 208.4 217 298.4 140.3 337.5 263.7 191.7 172.5 282.6 378.4 321.2 175.2 114.5 193.7 248 145.8 354.7 180.5 297.4 128.1 199.2 193.6 194.2 101.8 342.6 294.3 572.6 184.1 253.2 455.8 131.1 157.9 279.4 193.4 157 210.2 117.9 203.6 244.3 90.6 199.1
Auxinbiosynthesis NA 253534_at AT4G31500 2656.4 3661.3 82.1 12571.7 6329 14451.4 2875.9 6309 8351.3 20747.6 14398.4 4728.3 11023.1 2959.2 6686.5 6541.2 6991 7117.4 5485 4215.6 6142.3 7417.5 7496.8 19208.4 34240.6 34385.9 23873.4 18266.1 18302.6 16060.1 8698 5532.8 7078 8388 5222.1 6528.4 10046.6 5615.5 3387.8 9237.7 4294.1 4602 10315.5 5412.9 4336.9 6156.8 4988 3958.9 5468.5 5429.2 4334 3291.3 6442.4 3879 4762.7 5838.5 8245.8 2654.1 6011.6 5289.4 7442.5 3392.2 4315 4021.3 2692.1 11265.4 5228 9471.8 11665.3 4701.7 5058.3 4769.5 4697.3 1646.3 1147 2262.6 2676.4 1143.3 858.5 1797.2 2176.3 1372.9 1487.7 429.2 1346.6 2259.1 923.8 849.3 2887.5 845.2 1501.1 1447.6 17714.2 9081.1 5408.9 10873.2 3915 3888.2 17593.7 16823.8 14710.8 2453.3 7471.5 7597 20115.4 4024.1 1416.1 17603.2 11245.4 1384.6 9207.5 16556.1 16624.9 13941 9152.1 12452.6 11617.1 14624.1
Auxinbiosynthesis NA 253788_at AT4G28680 216.5 306.1 113.4 160.6 283.7 208.3 1108.3 326.5 261.6 107.9 227.2 189.6 158.9 804.6 344.7 258.3 227.1 200.3 257.8 218.4 175.5 197.5 205.8 96.3 142.8 149.2 116.5 133 124.1 101.3 201.7 298.4 137 134.7 297 200.5 88.7 276.3 92.9 47.3 263.1 282.8 158.7 412.9 303.6 224.9 273.9 446.7 315.7 387.1 360.4 765.2 287.3 326.3 135.9 271.9 151.5 212.8 222.3 171.9 276.6 274.5 210.3 230.5 231 113.8 145.6 194.6 229.6 181.8 151.4 158.3 194.3 263.8 135.7 133.2 231.4 276.1 142 222 168.2 224.8 322.7 146 151.3 303 282.2 161.3 201.2 100.3 240.6 318.3 176.8 290.1 324.2 359.7 217 275.7 171.2 210.6 179 216.1 320.9 404.2 156.8 365.3 281.7 140.9 156.1 337.7 261.7 227.6 171.2 863.3 221.6 211.2 193.5 213.4
Auxinbiosynthesis NA 261884_at AT1G80910 702.5 486.5 585.1 604.8 644.6 699 605.5 692.2 653.4 716.2 695.1 538.7 790.3 705 627.2 623.3 545.4 415.5 659.5 668.2 657.7 632 601.3 656.8 773.4 470.5 1058 942.9 922.5 783.6 670.2 733.8 463.9 547.5 602.7 837.5 814.5 637.3 358.2 712.9 812.4 521.9 753.6 554.5 544 657.7 575.7 396.3 566.4 468 507.5 938.9 658.7 330 820.8 664 550 712.5 621.8 633.5 670.2 599.1 524.4 428.3 448.5 497.7 261.9 401.7 399.7 406.5 424.2 490.2 467.7 443.8 414.9 436.6 357.1 443.8 484.2 465 527.8 443.8 334.1 388.1 414.6 716.2 377.7 616.5 464.7 600.8 563.2 475 877.8 778.6 675.2 648.7 654.2 669.5 764.8 1045.7 711.2 654.5 677.9 677.3 1161.7 745.2 585.9 856.9 585 791.1 686.8 788.7 923.8 941.8 653.9 517.9 604.2 692.3
